Cod_setor,Situacao_setor,V001,V109,V110
250150005000007,1,18,3,MULHER
250150005000008,8,170,3,MULHER
250150005000009,8,172,10,MULHER
250150005000010,8,200,2,MULHER
250150005000011,8,300,0,MULHER
250150005000012,8,11,X,DESCONHECIDO
250150005000013,8,35,0,MULHER
250150005000014,8,35,0,MULHER
250150005000015,8,126,1,MULHER
250150005000016,8,35,0,MULHER
250150005000017,1,312,0,MULHER
250150005000018,1,101,0,MULHER
250150005000019,5,133,0,MULHER
250150005000020,4,169,0,MULHER
250150005000021,5,4,X,DESCONHECIDO
250150010000001,1,228,0,MULHER
250150010000002,8,125,0,MULHER
250150010000003,8,156,3,MULHER
250150010000004,8,163,0,MULHER
250150010000005,8,127,0,MULHER
250150010000006,8,84,0,MULHER
250150010000007,8,103,0,MULHER
250150010000008,8,46,0,MULHER
250150010000009,5,115,2,MULHER
250150010000010,5,249,0,MULHER
250150010000011,8,74,0,MULHER
250150020000001,1,229,0,MULHER
250150020000002,8,69,0,MULHER
250150020000003,8,111,0,MULHER
250150020000004,8,99,0,MULHER
250150020000005,8,27,0,MULHER
250150020000006,8,281,0,MULHER
250150020000007,8,76,0,MULHER
250150020000008,8,133,0,MULHER
250150020000009,1,120,0,MULHER
250150020000010,5,58,0,MULHER
250153405000001,1,247,0,MULHER
250153405000002,1,203,0,MULHER
250153405000003,8,201,0,MULHER
250153405000004,8,91,0,MULHER
250153405000005,1,337,0,MULHER
250153405000006,1,221,0,MULHER
250157505000001,1,249,0,MULHER
250157505000002,8,181,0,MULHER
250157505000003,8,171,0,MULHER
250157505000004,8,202,0,MULHER
250157505000005,8,103,2,MULHER
250157505000006,8,126,0,MULHER
250157505000007,8,123,4,MULHER
250157505000008,8,218,0,MULHER
250157505000009,8,116,0,MULHER
250157505000010,8,114,0,MULHER
250157505000011,8,182,0,MULHER
250157505000012,8,152,0,MULHER
250157505000013,5,164,33,MULHER
250157505000014,5,155,0,MULHER
250157505000015,4,43,X,DESCONHECIDO
250157505000016,5,58,0,MULHER
250157505000017,5,72,0,MULHER
250157505000018,5,2,X,DESCONHECIDO
250160905000001,1,203,0,MULHER
250160905000002,1,133,0,MULHER
250160905000003,1,181,0,MULHER
250160905000004,1,249,0,MULHER
250160905000005,1,188,0,MULHER
250160905000006,1,143,0,MULHER
250160905000007,1,264,106,MULHER
