Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
250750705000937;1;49;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;2;1;3;2;0;0;2;1;1;2;1;1;1;1;2;3;1;0;1;0;2;3;1;0;2;1;2;2;1;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;4;8;4;6;7;6;8;1;3;1;1;0;0
250750705000938;1;79;0;0;0;0;0;0;0;0;0;0;1;0;2;1;2;3;2;2;4;3;3;3;2;3;1;0;2;2;0;1;0;1;1;0;1;1;2;4;5;0;3;1;0;3;1;0;1;0;1;2;2;1;1;1;2;1;1;0;0;0;2;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;6;14;12;5;3;12;8;3;7;2;5;0;1
250750705000939;1;102;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;1;5;5;1;5;4;3;3;3;10;3;3;0;2;9;0;4;3;3;0;3;0;3;0;0;3;4;2;3;1;2;0;1;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;1;15;16;19;17;9;9;7;2;1;1;3;0
250750705000940;1;150;0;0;0;0;0;0;0;1;2;6;2;3;3;4;5;1;5;0;4;2;1;0;4;0;5;1;1;2;2;0;2;2;2;2;3;2;4;6;3;1;2;6;5;4;3;6;2;4;3;2;4;3;0;0;1;0;0;3;2;5;1;3;1;1;1;0;1;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;0;9;17;12;10;6;11;15;20;17;8;10;7;5;2
250750705000941;1;112;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;1;2;1;1;1;2;5;1;2;4;1;3;5;7;4;5;2;4;2;1;3;1;3;1;1;3;4;3;1;2;3;0;0;2;3;2;0;2;2;0;3;1;1;1;0;1;2;0;0;1;2;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;83;0;1;3;6;8;19;11;9;10;4;5;4;2;0;1
250750705000942;1;97;0;0;0;0;0;0;0;1;0;0;2;0;0;1;5;1;0;2;1;0;1;1;1;3;1;2;1;1;2;0;1;0;1;1;2;3;1;6;1;2;4;0;2;4;2;0;2;2;5;3;4;1;1;0;3;5;0;1;0;0;3;1;2;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;96;0;1;8;4;7;6;5;13;11;12;9;6;6;3;5
250750705000943;1;96;1;0;0;0;0;0;0;0;2;2;0;0;0;6;1;1;2;1;2;3;2;2;3;1;3;1;5;2;2;5;3;0;4;1;4;4;3;2;1;2;2;2;1;3;0;1;1;2;1;0;3;0;0;0;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;1;4;7;7;7;13;10;11;5;3;1;1;0;0;0
250750705000944;1;162;0;0;0;0;0;0;1;0;1;1;1;4;4;1;0;3;2;4;1;2;1;3;7;3;3;3;4;3;0;3;6;1;2;6;5;3;2;7;2;5;4;1;4;2;1;5;5;3;4;0;4;2;4;2;0;2;2;3;1;1;2;0;1;3;4;0;0;1;0;0;2;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;94;0;3;10;10;14;9;10;10;6;9;6;3;2;1;1
250750705000945;1;63;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;0;3;4;1;1;1;4;0;4;5;0;1;0;2;1;3;2;0;1;1;0;0;2;5;0;2;0;1;0;0;1;2;1;3;0;2;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;1;0;0;3;10;10;8;7;8;3;7;4;1;0;0
250750705000946;1;88;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;2;0;2;1;0;1;0;2;1;0;0;0;2;3;2;0;0;4;0;3;0;2;3;2;2;2;7;1;5;1;6;4;0;3;2;1;1;2;1;0;1;0;0;0;1;2;1;1;1;4;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;0;0;2;4;4;3;6;8;15;17;7;2;4;7;2
250750705000947;1;73;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;1;3;1;5;3;1;6;1;1;3;2;1;3;2;1;2;1;2;2;2;3;1;2;1;2;0;2;2;0;1;0;1;0;2;0;1;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;4;7;16;10;8;10;7;2;3;3;1;0;0
250750705000948;1;119;0;0;0;0;0;0;0;0;0;1;1;2;0;0;4;2;2;4;2;2;5;4;4;2;4;3;4;4;1;2;4;2;2;3;2;3;2;3;1;4;2;3;0;2;2;1;1;2;2;3;4;2;0;1;3;0;2;2;1;0;0;0;1;0;0;1;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;1;7;10;18;11;9;10;6;6;5;1;0;0;1
250750705000949;1;90;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;2;0;4;3;1;2;2;2;2;2;3;2;3;2;3;3;4;5;1;1;1;1;2;2;2;1;0;0;1;1;1;2;1;2;1;3;1;1;2;1;1;2;0;1;1;1;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;61;0;0;1;4;8;10;13;7;5;2;4;3;4;0;0
